values,id
-3.01,Autauga County
3.21,Baldwin County
-5.25,Barbour County
2.9,Bibb County
1.31,Blount County
-7.97,Bullock County
3.26,Butler County
-0.95,Calhoun County
-3,Chambers County
7.32,Cherokee County
0.98,Chilton County
-1.58,Choctaw County
-6.57,Clarke County
5.57,Clay County
-6.83,Cleburne County
-3.88,Coffee County
-5.76,Colbert County
-3.35,Conecuh County
-8.64,Coosa County
-0.73,Covington County
-6.38,Crenshaw County
3.42,Cullman County
-0.7,Dale County
-5.48,Dallas County
-0.64,DeKalb County
4.89,Elmore County
2.21,Escambia County
-4.95,Etowah County
2.74,Fayette County
-0.94,Franklin County
0.01,Geneva County
1.24,Greene County
-6.37,Hale County
2.19,Henry County
-1.57,Houston County
-0.4,Jackson County
0.72,Jefferson County
-1.96,Lamar County
1.81,Lauderdale County
-8.08,Lawrence County
-6.25,Lee County
2.48,Limestone County
1.04,Lowndes County
0.24,Macon County
-0.18,Madison County
4.66,Marengo County
1.29,Marion County
5.75,Marshall County
0.13,Mobile County
-3.3,Monroe County
0.14,Montgomery County
2.39,Morgan County
-6.48,Perry County
-0.38,Pickens County
-9.02,Pike County
0.45,Randolph County
-1.77,Russell County
2.11,Shelby County
0.24,St. Clair County
-7.16,Sumter County
1.61,Talladega County
1.01,Tallapoosa County
-0.43,Tuscaloosa County
-0.15,Walker County
1.67,Washington County
-15.99,Wilcox County
-0.34,Winston County
-3.05,Anchorage
-11.5,Bethel
-9.24,Fairbanks North Star
-13.8,Juneau
-4.89,Kenai Peninsula Borough
-20.39,Ketchikan Gateway
-11.89,Kodiak Island
-5.45,Matanuska-Susitna
-8.71,North Slope
-44.05,Sitka
-35,Southeast Fairbanks
-10.77,Valdez-Cordova
3.45,Apache County
-3.75,Cochise County
0.13,Coconino County
11.73,Gila County
1.55,Graham County
-17.02,Greenlee County
-20.44,La Paz County
-6.65,Maricopa County
-3.01,Mohave County
4.25,Navajo County
-6.58,Pima County
-3.52,Pinal County
-9.95,Santa Cruz County
-2.32,Yavapai County
-7.17,Yuma County
-2.4,Arkansas County
-4.94,Ashley County
1.76,Baxter County
3.27,Benton County
-0.18,Boone County
-2.8,Bradley County
0.42,Carroll County
-7.48,Chicot County
-0.27,Clark County
5.57,Clay County
-6.83,Cleburne County
-2.41,Cleveland County
-3.08,Columbia County
1.09,Conway County
-12.41,Craighead County
-2.3,Crawford County
-1.33,Crittenden County
3,Cross County
-5.48,Dallas County
2.58,Desha County
-5.87,Drew County
-9.04,Faulkner County
-0.94,Franklin County
-7.68,Fulton County
5.61,Garland County
3.33,Grant County
1.24,Greene County
1.11,Hempstead County
-3.73,Hot Spring County
1.4,Howard County
0.66,Independence County
-14.73,Izard County
-0.4,Jackson County
0.72,Jefferson County
4.29,Johnson County
-8.08,Lawrence County
-0.85,Lincoln County
0.02,Little River County
1.79,Logan County
-1.01,Lonoke County
-0.18,Madison County
1.29,Marion County
-4.14,Miller County
1.97,Mississippi County
-3.3,Monroe County
0.14,Montgomery County
-12.6,Nevada County
-3.38,Newton County
-6.34,Ouachita County
-6.48,Perry County
-1.3,Phillips County
-9.02,Pike County
0.11,Poinsett County
-0.89,Polk County
-3.79,Pope County
-6.45,Prairie County
-0.25,Pulaski County
0.45,Randolph County
-4.53,Saline County
2.4,Scott County
-18.76,Searcy County
-0.54,Sebastian County
11,Sevier County
1.78,Sharp County
2.37,St. Francis County
1.88,Stone County
0.48,Union County
-2.17,Van Buren County
1.67,Washington County
-0.84,White County
-0.67,Yell County
-14.85,Alameda County
-15.5,Amador County
-7.14,Butte County
-9.68,Calaveras County
-4.9,Colusa County
-11.7,Contra Costa County
-1.03,Del Norte County
-14.57,El Dorado County
-7.14,Fresno County
-4.07,Glenn County
-2.99,Humboldt County
-12.08,Imperial County
-11.73,Inyo County
-3.77,Kern County
-8.06,Kings County
-4.2,Lake County
-0.83,Lassen County
-13.47,Los Angeles County
0.93,Madera County
-16.13,Marin County
-18.18,Mariposa County
-10.74,Mendocino County
0.25,Merced County
-24.71,Modoc County
-37.23,Mono County
-9.3,Monterey County
-9.27,Napa County
-12.6,Nevada County
-5.89,Orange County
-7.69,Placer County
-6.8,Plumas County
-10.81,Riverside County
-9.43,Sacramento County
-17.57,San Benito County
-9.67,San Bernardino County
-15.23,San Diego County
-23.66,San Francisco County
-4.89,San Joaquin County
-13.08,San Luis Obispo County
-15.71,San Mateo County
-12.1,Santa Barbara County
-16.4,Santa Clara County
-9.95,Santa Cruz County
-0.31,Shasta County
0.63,Siskiyou County
-7.88,Solano County
-10.47,Sonoma County
-4.43,Stanislaus County
-12.49,Sutter County
-4.22,Tehama County
-2.61,Trinity County
-2.17,Tulare County
-9.94,Tuolumne County
-11.42,Ventura County
