value,id
33,48
324,38
520,27
284,184
804,224
1406,40
993,83
1057,58
214,5
1406,18
1681,53
1982,82
906,26
835,28
796,5
1827,19
1527,6
1240,55
1213,12
1141,38
1885,18
593,7
1905,8
870,18
1464,61
213,13
2061,165
1286,25
1721,24
1054,68
1645,34
271,6
2009,17
1549,34
2157,29
1642,45
1435,21
1608,11
212,25
1188,33
720,7
1991,33
1594,9
2005,40
755,10
2264,22
1963,12
1193,11
2211,350
1364,12
2218,205
1876,14
1975,138
2351,19
2139,14
2340,48
1746,58
168,4
1366,14
966,9
2625,5
1248,33
1659,19
915,26
3342,10
1336,22
898,20
436,8
2080,26
2633,60
372,16
1634,31
3309,36
1883,9
648,17
379,10
1415,28
692,13
896,11
507,4
744,17
956,31
886,61
1519,51
2416,92
162,12
1317,20
869,13
1441,13
942,206
1057,24
690,20
1057,42
1352,23
356,6
304,81
2233,29
2195,65
1221,6
1624,24
377,4
1813,72
809,10
931,7
1425,30
504,5
507,4
1071,16
1833,15
620,9
1420,104
1126,9
1035,27
1544,23
295,211
1025,22
1125,21
968,31
1892,33
925,34
734,25
1650,20
1137,25
1885,45
1121,31
961,199
123,9
228,3
1618,277
1376,18
868,6
1855,112
2466,36
754,125
577,11
1645,49
1454,29
2613,112
2940,48
1587,24
2017,53
3425,137
939,17
2041,176
1077,23
1580,21
1629,49
567,20
4022,323
1605,22
2670,44
1440,115
1305,29
2048,33
1837,197
273,8
2725,81
1619,37
1584,16
2444,55
3456,28
1365,43
730,13
4703,55
2209,21
1956,80
2792,54
2134,46
2656,48
1583,32
1366,20
1307,17
3601,75
2313,84
2049,37
2576,41
701,33
1206,54
1521,46
1886,38
1312,37
2382,34
2991,30
2254,96
3179,30
1676,63
2852,44
1421,29
3236,30
1222,83
1338,80
2765,47
466,54
2235,58
3171,34
2441,40
3791,39
2651,49
2716,575
2482,657
3137,53
2847,213
3013,61
2809,38
2400,62
4060,39
3297,38
1528,42
2366,199
3016,82
2556,220
3169,235
5736,35
3283,60
1738,23
2378,33
